"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Creighton",210,117,0.642201834862385,26141,23908,0.473494117647059,0.427547058823529,11410,3923,5400
"Dartmouth",84,151,0.357446808510638,17183,17609,0.435224899598394,0.451172690763052,7850,3126,3204
"Davidson",165,107,0.606617647058823,20622,19434,0.455074733096085,0.434825622775801,8826,2821,4132
"Dayton",181,90,0.66789667896679,20633,18943,0.474663157894737,0.421543859649123,9047,3354,4300
"DePaul",102,197,0.341137123745819,21901,23319,0.437512903225806,0.452825806451613,9689,4058,4037
"Delaware",129,163,0.441780821917808,21699,22332,0.44663961038961,0.443175324675325,9563,3517,3842
"Delaware State",83,208,0.285223367697594,20425,22693,0.412141914191419,0.444924092409241,9500,4265,3587
"Denver",116,171,0.40418118466899,21558,22325,0.466059602649007,0.460572847682119,8887,3801,3976
"Detroit Mercy",104,192,0.351351351351351,22621,23868,0.438267973856209,0.469464052287582,9504,3784,3779
"Dixie State",20,31,0.392156862745098,3708,3899,0.422211538461538,0.443461538461538,1744,772,800
"Drake",184,120,0.605263157894737,23924,22582,0.459912386706949,0.442389728096677,10223,3608,4502
"Drexel",128,162,0.441379310344828,21343,21407,0.4411875,0.447851973684211,9800,3393,3885
"Duke",241,64,0.79016393442623,25158,21240,0.47681847133758,0.417984076433121,11102,3395,4878
"Duquesne",141,158,0.471571906354515,22220,22220,0.433803225806452,0.440877419354839,10184,3800,4195
"East Carolina",128,166,0.435374149659864,20800,21597,0.418816993464052,0.437529411764706,9728,3741,4103
"East Tennessee State",187,125,0.599358974358974,24115,22638,0.452790769230769,0.429916923076923,10961,4036,4298
"East Texas A&M",18,46,0.28125,4356,4783,0.414109375,0.468046875,1789,813,896
"Eastern Illinois",109,178,0.37979094076655,20795,21784,0.427218241042345,0.439801302931596,9508,3777,4061
"Eastern Kentucky",154,141,0.522033898305085,24592,23794,0.44391167192429,0.452763406940063,10202,3829,4643
"Eastern Michigan",140,157,0.471380471380471,22311,22575,0.441418006430868,0.437028938906752,9826,3770,3544
"Eastern Washington",153,123,0.554347826086957,22292,21507,0.469558620689655,0.446558620689655,9184,3490,4162
"Elon",124,170,0.421768707482993,22035,22481,0.434796116504854,0.438177993527508,9964,3683,4141
"Evansville",135,172,0.439739413680782,21679,22324,0.441866043613707,0.445255451713396,9438,3717,4211
"FDU",28,37,0.430769230769231,4861,4897,0.426892307692308,0.446430769230769,2110,759,933
"Fairfield",127,167,0.431972789115646,21935,22426,0.425488958990536,0.447621451104101,9826,3719,4021
"Fairleigh Dickinson",96,133,0.419213973799127,18042,18537,0.445963265306122,0.458902040816327,7393,3116,3204
"Florida",207,119,0.634969325153374,25460,23183,0.444252941176471,0.41975,11471,3823,4502
"Florida A&M",80,197,0.288808664259928,18985,21326,0.419134020618557,0.447652920962199,8614,4093,3365
"Florida Atlantic",160,145,0.524590163934426,23182,22265,0.439350157728707,0.434709779179811,10682,3846,4208
